Track,Assay,Sensitivity,95% CI lower,95% CI upper,Specificity,95% CI lower,95% CI upper
T8,PALB2 binding (Xia et al. 2006),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T9,Dominant negative effect on Homology-directed repair (Xia et al. 2006),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T10,Sub-cellular localization (Xia et al. 2006),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T11,Homologous recombination/Double strand break repair (Xia et al. 2006),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T12,Sub-cellular localization (Xia et al. 2006),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T13,RAD51 binding (Xia et al. 2006),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T14,Protein expression (Kuznetsov et al. 2008),0.00,0.02,0.60,1.00,0.52,0.98
T15,Gene expression (Kuznetsov et al. 2008),0.00,0.02,0.60,1.00,0.52,0.98
T16,Cell viability (Kuznetsov et al. 2008),1.00,0.40,0.98,1.00,0.46,0.98
T17,Drug sensitivity (Mitomycin C) (Kuznetsov et al. 2008),N/A,#VALUE!,#VALUE!,0.80,0.30,0.99
T18,Drug sensitivity (Methyl methanesulfonate) (Kuznetsov et al. 2008),N/A,#VALUE!,#VALUE!,0.80,0.30,0.99
T19,Drug sensitivity (Methyl-N-nitro-N-nitrosoguanidine) (Kuznetsov et al. 2008),N/A,#VALUE!,#VALUE!,0.80,0.30,0.99
T20,Drug sensitivity (Hydroxy Urea) (Kuznetsov et al. 2008),N/A,#VALUE!,#VALUE!,0.80,0.30,0.99
T21,Drug sensitivity (Cisplatin) (Kuznetsov et al. 2008),N/A,#VALUE!,#VALUE!,0.80,0.30,0.99
T22,Drug sensitivity (Ultra Violet light) (Kuznetsov et al. 2008),N/A,#VALUE!,#VALUE!,1.00,0.46,0.98
T23,Sensitivity (Ionizing radiation) (Kuznetsov et al. 2008),N/A,#VALUE!,#VALUE!,1.00,0.46,0.98
T24,Drug sensitivity (Methyl-N′-nitro-N-Nitrosoguanidine - MNNG) (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T25,Drug sensitivity (Mitomycin C - MMC) (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T26,Drug sensitivity (Cisplatin) (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T27,Drug sensitivity (methyl-methanesulfonate - MMS) (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T28,Drug sensitivity (ionizing radiation - IR) (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T29,Drug sensitivity (ultraviolet light - UV) (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T30,RAD51 foci formation (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T31,Chromosomal abnormalities (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T32,Homologous recombination (Li et al. 2009),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T33,Centrosome amplification (Walker et al. 2010),0.75,0.22,0.99,N/A,#VALUE!,#VALUE!
T34,Homologous recombination (Walker et al. 2010),1.00,0.40,0.98,N/A,#VALUE!,#VALUE!
T35,Protein expression (Balia et al 2011),0.00,0.11,0.95,1.00,0.56,0.99
T36,Homology-directed recombination (Balia et al 2011),1.00,0.05,0.89,0.71,0.30,0.95
T37,Protein expression (Biswas et al. 2011),1.00,0.05,0.89,1.00,0.05,0.89
T38,Cell viability (Biswas et al. 2011),1.00,0.05,0.89,1.00,0.05,0.89
T39,Cell growth (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T40,Cell proliferation (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T41,IR-induced RAD51 foci (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T42,Drug sensitivity (Mitomycin C) (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T43,Drug sensitivity (Methyl methanesulfonate) (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T44,Drug sensitivity (Methylnitronitrosoguanidine) (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T45,Drug sensitivity (Cisplatin) (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T46,DSS1 binding (Biswas et al. 2011),N/A,#VALUE!,#VALUE!,1.00,0.05,0.89
T47,Protein expression (Biswas et al. 2012),0.00,0.05,0.80,1.00,0.31,0.97
T48,HAT colonies (Biswas et al. 2012),1.00,0.20,0.95,1.00,0.31,0.97
T49,Drug sensitivity (Cisplatin) (Biswas et al. 2012),1.00,0.05,0.89,1.00,0.31,0.97
T50,Drug Sensitivity (Mitomycin C) (Biswas et al. 2012),1.00,0.05,0.89,1.00,0.31,0.97
T51,Drug Sensitivity (Methyl methanesulfonate) (Biswas et al. 2012),1.00,0.05,0.89,1.00,0.31,0.97
T52,Drug Sensitivity (Methyl-N-nitro-N-nitrosoguanidine) (Biswas et al. 2012),1.00,0.05,0.89,1.00,0.31,0.97
T53,Sensitivity (Ionizing radiation) (Biswas et al. 2012),1.00,0.05,0.89,1.00,0.31,0.97
T54,DR-GFP assay (Homologous recombination) (Biswas et al. 2012),1.00,0.05,0.89,1.00,0.31,0.97
T55,Chromosome spreads (Biswas et al. 2012),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T56,RAD51 binding (Yoshikawa et al. 2012),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T57,RAD51 oligomerization inhibition (Yoshikawa et al. 2012),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T58,DSS1 binding (Jeyasekharan et al. 2013),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T59,BRCA2 Sub-cellular localization (Jeyasekharan et al. 2013),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T60,Fluorescence Resonance Energy Transfer (FRET) (Jeyasekharan et al. 2013),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T61,CRM1 bindibng (Jeyasekharan et al. 2013),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T62,Protein expression (Jeyasekharan et al. 2013),0.00,0.11,0.95,N/A,#VALUE!,#VALUE!
T63,Sensitivity (Ionizing radiation) (Jeyasekharan et al. 2013),0.00,0.11,0.95,N/A,#VALUE!,#VALUE!
T64,RAD51 sub-cellular localization (Jeyasekharan et al. 2013),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T65,BRCA2 sub-cellular localization (Jeyasekharan et al. 2013),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T66,BRCA2 damage-dependent sub-cellular localization (Jeyasekharan et al. 2013),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T67,Protein expression (Jeyasekharan et al. 2013),0.00,0.11,0.95,N/A,#VALUE!,#VALUE!
T68,ssDNA binding (Nicolai et al. 2016),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T69,dsDNA binding (Nicolai et al. 2016),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T70,3' overhang DNA binding (Nicolai et al. 2016),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T71,RAD51-promoted DNA strand exchange (3' overhang substrate) (Nicolai et al. 2016),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T72,RAD51-promoted DNA strand exchange (ssDNA substrate) (Nicolai et al. 2016),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T73,PALB2 interaction GFP reassembly (Caleca et al. 2018),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T74,PALB2 interaction Immobilized metal affinity chromatography (IMAC) (Caleca et al. 2018),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T75,Protein expression (Caleca et al. 2018),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T76,DSS1 Binding (Caleca et al. 2019),1.00,0.63,0.99,1.00,0.40,0.98
T77,PALB2 interaction (Caleca et al. 2019),1.00,0.63,0.99,1.00,0.40,0.98
T78,Drug Sensitivity (Mitomycin C) (Heczkova et al. 2019),1.00,0.05,0.89,1.00,0.20,0.95
T79,Drug Sensitivity (Oxaliplatin) (Heczkova et al. 2019),1.00,0.05,0.89,1.00,0.20,0.95
T80,Drug Sensitivity (AZD2461) (Heczkova et al. 2019),1.00,0.05,0.89,1.00,0.20,0.95
T81,Drug Sensitivity (Rucaparib) (Heczkova et al. 2019),1.00,0.05,0.89,1.00,0.20,0.95
T82,Mitomycin C-induced RAD51 foci formation (Heczkova et al. 2019),1.00,0.05,0.89,1.00,0.20,0.95
T83,BRCA2 knockout rescue (Mesman et al. 2019),0.92,0.60,1.00,0.95,0.74,1.00
T84,Homology-directed recombination capacity (Mesman et al. 2019),1.00,0.05,0.89,0.95,0.74,1.00
T85,Drug Sensitivity (Cisplatin) (Mesman et al. 2019),1.00,0.05,0.89,0.90,0.68,0.98
T86,Drug Sensitivity (KU-0058948) (Mesman et al. 2019),0.00,0.11,0.95,0.00,0.11,0.95
T87,Cell cycle (Mesman et al. 2019),0.00,0.11,0.95,1.00,0.05,0.89
T88,Protein expression (Mesman et al. 2019),0.33,0.11,0.65,1.00,0.81,1.00
T89,VarCall-based Cell survival (Biswas et al. 2020),1.00,0.60,0.99,0.94,0.68,1.00
T90,VarCall-based DNA damaging agents sensitivity (Biswas et al. 2020),0.00,0.05,0.80,0.38,0.16,0.64
T91,VarCall-based Combined model (Biswas et al. 2020),1.00,0.60,0.99,0.88,0.60,0.98
T92,Protein expression (Biswas et al. 2020),0.00,0.02,0.60,N/A,#VALUE!,#VALUE!
T93,MANO-B VarCall-based Drug sensitivity (Olaparib) (Ikegami et al. 2020),0.92,0.60,1.00,0.77,0.60,0.88
T94,MANO-B VarCall-based Drug sensitivity (Niraparib) (Ikegami et al. 2020),1.00,0.70,0.99,0.82,0.66,0.92
T95,MANO-B VarCall-based Drug sensitivity (Rucaparib) (Ikegami et al. 2020),0.92,0.60,1.00,0.69,0.52,0.82
T96,MANO-B VarCall-based Drug sensitivity (CBDCA) (Ikegami et al. 2020),1.00,0.70,0.99,0.77,0.60,0.88
T97,Homology-directed recombination (Ikegami et al. 2020),1.00,0.31,0.97,0.75,0.36,0.96
T98,Protein expression (Ikegami et al. 2020),0.00,0.03,0.69,1.00,0.52,0.98
T99,Protein expression (Rickman et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T100,Foci formation (Rickman et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T101,Foci formation (Rickman et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T102,Homologous Recombination (Rickman et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T103,DNA fiber (Rickman et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T104,Replication fork resection (Rickman et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T105,Protein expression (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T106,Drug sensitivity (Methyl methanesulfonate) (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T107,Drug sensitivity (Mitomycin c) (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T108,Drug sensitivity (Cisplatin) (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T109,Drug sensitivity (Camptothecin) (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
