Track,Assay,Sensitivity,95% CI lower,95% CI upper,Specificity,95% CI lower,95% CI upper
T110,Drug sensitivity (Olaparib) (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T111,Sensitivity (Ionizing radiation) (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T112,Clonogenic survival (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T113,RAD51 sub-cellular localization (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T114,Homologous Recombination (Sirisena et al. 2020),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T115,BRCA2 knockout rescue (Sullivan et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T116,Drug sensitivity (Methyl methanesulfonate) (Sullivan et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T117,Drug sensitivity (Cisplatin) (Sullivan et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T118,Drug sensitivity (Camptothecin) (Sullivan et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T119,Drug sensitivity (Mitomycin c) (Sullivan et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T120,Drug sensitivity (Olaparib) (Sullivan et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T121,Sensitivity (Ionizing radiation) (Sullivan et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T122,HAP1 survival (Billaud et al. 2021),N/A,#VALUE!,#VALUE!,1.00,0.20,0.95
T123,Survival (Cuella-Martin et al. 2021),N/A,#VALUE!,#VALUE!,0.50,0.03,0.97
T124,Survival (Erwood et al. 2021),1.00,0.31,0.97,1.00,0.05,0.89
T125,DSS1 Binding - 293T (Lee et al. 2021),0.75,0.36,0.96,1.00,0.05,0.89
T126,Nuclear localization - HeLa (Lee et al. 2021),1.00,0.60,0.99,1.00,0.05,0.89
T127,Intracellular BRCA2 oligomerization - 293T (Lee et al. 2021),0.00,0.11,0.95,N/A,#VALUE!,#VALUE!
T128,Interaction between BRCA2 and GST or GFP - E. coli (Lee et al. 2021),0.00,0.11,0.95,N/A,#VALUE!,#VALUE!
T129,Oligomer formation -gel electrophoresis (Lee et al. 2021),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T130,Intracellular localization - HeLa Kyoto (Lee et al. 2021),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T131,Homology-directed recombination - HeLa Kyoto (Lee et al. 2021),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T132,nuclear import - HeLa Kyoto (Lee et al. 2021),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T133,DSS1 expression restored the nuclear localization - HeLa (Lee et al. 2021),0.38,0.10,0.74,N/A,#VALUE!,#VALUE!
T134,DSS1 expression restored the HDR - HeLa Kyoto (Lee et al. 2021),1.00,0.05,0.89,N/A,#VALUE!,#VALUE!
T135,DDX5 interaction (Sessa et al. 2021),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T136,GFP pull‐down assay (Sessa et al. 2021),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T137,DNA-RNA hybrid (Sessa et al. 2021),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T138,DDX5 retention (Sessa et al. 2021),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T139,Localization imparing of DDX5 (Sessa et al. 2021),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T140,RAD51 foci formation (Sessa et al. 2021),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T141,RPA foci (Sessa et al. 2021),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T142,NG base editors functional assessment (Huang et al. 2021),0.25,0.01,0.78,0.70,0.50,0.86
T143,Homology-directed recombination (Hu et al. 2024),0.93,0.66,1.00,1.00,0.92,1.00
T144,IR-induced RAD51 Foci formation (Sahu et al. 2023),N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T145,Saturation genome editing multiplex (Sahu et al. 2023),1.00,0.05,0.89,0.60,0.17,0.93
T146,Homologous recombination (Guo et al. 2023),N/A,#VALUE!,#VALUE!,1.00,0.31,0.97
T147,Combined cell sensitivity and drug viability multiplex assay (Biswas et al. 2023),1.00,0.05,0.89,1.00,0.84,1.00
T148,"Drug sensiviity (Niraparib) (Li et al., 2023)",N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T149,"Drug sensiviity (Niraparib) (Li et al., 2023)",N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T150,"Drug sensiviity (Olaparib) (Li et al., 2023)",N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T151,"Drug sensiviity (Olaparib) (Li et al., 2023)",N/A,#VALUE!,#VALUE!,N/A,#VALUE!,#VALUE!
T152,Combined cell viability and drug sensitivity - Multiplex assay of variant effects (Hu et al. 2025),0.94,0.68,1.00,0.93,0.84,0.97
T153,Combined cell viability and drug sensitivity - Multiplex assay of variant effects (Sahu et al. 2025),0.24,0.08,0.50,0.74,0.63,0.83
T154,Combined cell viability and drug sensitivity - (Bose et al. 2025),1.00,0.31,0.97,0.67,0.13,0.98
